year,totalimport,import_growth,intensive_margin,new_firms,new_importers,new_products,stopping_firms,stopping_importers,dropped_products,new_hs4_code,droppedproduct,droppedfirm,exitingfirm
1992,1968.1553,,,,,,,,,,2.71e+10,1.07e+10,5.19e+10
1993,2357.8228,19.79861,16.2,9.6,5.1,10.6,-12.5,-2.6,-6.5,0,2.75e+10,6.29e+09,1.58e+10
1994,3182.054,34.9573,28.2,3,5.6,8.1,-3.2,-1.3,-5.5,0,2.91e+10,1.08e+10,8.90e+09
1995,3885.0366,22.0921,18.6,3.3,1.9,5.6,-1.3,-1.6,-4.3,0,4.03e+10,8.20e+09,2.62e+10
1996,5194.3404,33.70119,12,2.1,4.6,24.2,-3.2,-1,-4.9,.7,3.09e+10,3.05e+09,2.02e+10
1997,6667.5115,28.36108,26.1,2,1.2,3.9,-1.8,-.3,-2.8,0,3.31e+10,4.34e+09,7.64e+09
1998,8875.0017,33.10816,32.1,.7,.6,3,-.5,-.3,-2.4,0,3.09e+10,5.24e+09,1.58e+10
1999,10799.467,21.68411,20.4,1.4,.4,2.2,-.8,-.3,-1.7,0,2.90e+10,1.83e+09,1.48e+11
2000,13420.98,24.27447,21.7,8,.6,1.8,-6.5,-.1,-1.3,0,2.68e+10,1.50e+10,5.73e+10
2001,16413.192,22.29503,21.3,.2,1.6,2.8,-2,-.5,-.9,1.2,3.23e+10,1.26e+10,1.08e+11
2002,15425.158,-6.019755,-3.6,.4,.4,1.2,-3.1,-.4,-.9,.1,8.07e+10,2.57e+09,4.35e+10
2003,14521.278,-5.859773,-4.5,.4,1,1.1,-1.3,-.1,-2.5,0,0,0,3.06e+12
